                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95882,                   2.46,                 1.4274,                      1,                0.24559,                0.37952,                0.20065,                 1.1001,                 2.8182,                 1.5936,                  2e-05,                  2e-05,                  2e-05
                      2,                0.99878,                 2.5471,                 1.4702,                      1,                 0.2453,                0.38888,                0.20914,                 1.1148,                 2.7781,                 1.5976,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 1.1386,                 2.7319,                 1.6062,                0.64414,                      1,                0.95475,                0.58156,                 0.9339,                   7.08,                 1.2632,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                0.80298,                 2.1755,                 1.3383,                0.21078,                    0.5,                0.27749,                0.17092,                0.88403,                 2.7705,                 1.4288,             0.00013584,             0.00013584,             0.00013584
                      5,                0.90375,                 1.1689,                 1.3114,                0.64525,                      1,                0.86162,                0.58196,                 1.1877,                 2.9884,                  1.489,             0.00017287,             0.00017287,             0.00017287
                      6,                 0.8134,                 1.3118,                 1.2199,                0.59026,                      1,                0.79155,                0.64448,                0.93923,                  3.278,                  1.393,             0.00020911,             0.00020911,             0.00020911
                      7,                0.64864,                0.99216,                 1.1073,                      1,                   0.75,                0.96227,                0.55465,                 1.3923,                 7.4102,                 2.0457,             0.00024456,             0.00024456,             0.00024456
                      8,                0.74028,                 1.1032,                 1.2952,                      1,                  0.625,                0.78662,                0.46463,                  1.325,                 4.5253,                 2.3211,             0.00027921,             0.00027921,             0.00027921
                      9,                0.68174,                0.80852,                 1.1458,                   0.75,                   0.75,                0.77341,                0.53908,                  1.239,                 8.0196,                 2.4256,             0.00031307,             0.00031307,             0.00031307
                     10,                 0.7253,                 0.7931,                  1.164,                   0.75,                   0.75,                0.69298,                0.52596,                 0.8943,                 7.8862,                 1.6601,             0.00034614,             0.00034614,             0.00034614
                     11,                0.73307,                0.73256,                 1.2301,                      1,                  0.625,                0.76579,                 0.5736,                 1.0287,                 5.8788,                 1.7816,             0.00037842,             0.00037842,             0.00037842
                     12,                0.71654,                0.81681,                 1.1748,                      1,                   0.75,                0.90457,                0.62566,                 1.0311,                 6.6835,                 1.7844,             0.00040991,             0.00040991,             0.00040991
                     13,                0.87891,                0.97124,                 1.2875,                0.85714,                   0.75,                0.91477,                0.55965,                 1.0749,                 11.661,                 1.6112,              0.0004406,              0.0004406,              0.0004406
                     14,                0.75253,                0.85185,                 1.1565,                0.52191,                      1,                0.87783,                0.62993,                 1.0457,                 6.4438,                 1.7816,              0.0004705,              0.0004705,              0.0004705
                     15,                0.65992,                0.88069,                 1.0614,                0.61538,                      1,                0.66038,                 0.4288,                 1.1583,                 15.751,                 2.1738,             0.00049961,             0.00049961,             0.00049961
                     16,                0.83009,                0.93592,                 1.2643,                0.77778,                  0.875,                0.81722,                0.45394,                  1.172,                 9.7264,                 2.1991,             0.00052793,             0.00052793,             0.00052793
                     17,                0.78219,                 1.0577,                 1.2537,                0.83951,                  0.875,                0.90446,                 0.6582,                 1.0504,                 3.7718,                 1.8774,             0.00055546,             0.00055546,             0.00055546
                     18,                0.83969,                0.99174,                 1.3346,                0.77778,                  0.875,                0.82783,                0.47573,                 1.3189,                 5.7752,                 2.2523,             0.00058219,             0.00058219,             0.00058219
                     19,                0.75689,                0.93488,                 1.1619,                   0.75,                   0.75,                0.75667,                0.33543,                  1.608,                 11.305,                 2.8274,             0.00060813,             0.00060813,             0.00060813
                     20,                0.71913,                0.78941,                 1.1809,                0.33333,                      1,                 0.4494,                0.28757,                 1.4251,                 22.296,                 2.7455,             0.00063328,             0.00063328,             0.00063328
                     21,                0.70269,                0.75202,                 1.1087,                0.31579,                   0.75,                0.36923,                0.24061,                 1.1326,                 22.716,                 1.9252,             0.00065764,             0.00065764,             0.00065764
                     22,                0.73941,                0.74234,                 1.1441,                 0.3125,                  0.625,                0.40374,                0.27821,                 1.4399,                 22.372,                 2.3194,             0.00068121,             0.00068121,             0.00068121
